release_date,judul,sinopsis,genre,kata_kunci,rate,tahun
2022-12-22,Tumbal Kanjeng Iblis,"Setelah dua tahun tidak mendengar kabar dari saudara laki-lakinya yang sedang belajar di kota lain, Tia terus-menerus mendapat dorongan untuk mencari saudara laki-lakinya atau bahwa ayahnya, Yusuf, telah meninggal. Berbekal sebuah foto, pencarian Tia membawanya ke sebuah rumah kos misterius di dekat kampus saudara laki-lakinya. Disambut oleh pasangan pemilik rumah kos, Rosa dan Jefri, Tia curiga ada sesuatu yang tidak beres di balik persahabatan Rosa yang berlebihan. Belum lagi kehadiran seorang pemuda misterius bernama Nathan yang terus berubah pikiran dan langsung meninggalkan rumah kos tersebut. Di dalam rumah kos, peristiwa aneh terjadi berturut-turut. Semakin dalam Tia mencari saudara perempuannya, semakin besar teror yang dihadapinya. Di balik semua itu, ada kutukan dan sebuah sekte yang mengincar Tia.","Horror, Drama, Mystery", ,5.3,2022
2017-03-09,Ular Tangga,"Ketika sekelompok siswa tersesat saat mendaki gunung, mereka menemukan sebuah rumah kosong yang dihuni oleh jiwa-jiwa yang tersesat dan sebuah permainan papan yang mematikan.","Adventure, Horror, Thriller", ,4.1,2017
2015-05-17,Tarot,"Julie dan Tristan adalah sepasang kekasih yang akan segera menikah. Berharap mendapatkan ramalan kartu yang indah, mereka malah mendapatkan ramalan yang buruk dari seorang peramal kartu Tarot. Menurut ramalan yang terungkap...",Horror, ,5.5,2015
2016-02-04,London Love Story,"Dari patah hati hingga ketertarikan, emosi empat orang dewasa yang dilanda masalah saling terkait ketika takdir menyatukan mereka dan memperumit kehidupan mereka di London.","Drama, Romance", ,6,2016
2016-08-04,3 Srikandi,Tiga perempuan Indonesia memecahkan rekor dengan menjadi yang pertama dari negara mereka yang meraih medali dalam cabang olahraga panahan di Olimpiade Seoul pada musim panas tahun 1988.,"Drama, History","Olimpiade, panahan",6.5,2016
2019-01-31,PSP: Gaya Mahasiswa,"Monos, Rojali, Ade, Andra, Adit, Dindin, James, dan Omen adalah mahasiswa yang gila, kurang berpendidikan, tetapi keren dalam musik dan merupakan anggota OM Pancaran Sinar Petromaks (PSP). Mereka selalu sepakat dalam segala hal, tetapi dalam percintaan mereka sering bertaruh, seperti halnya Rojali, Monos, dan Ade. Ade jatuh cinta pada Fatima, seorang pengasuh asrama yang cantik dan seksi. Dindin, Andra, dan Adit adalah pembuat onar. Mereka suka membuat lelucon di kampus sehingga mereka dikenai sanksi karena dikeluarkan dari kampus. Mereka terkejut dengan kasus perampokan. Kasus ini berkembang menjadi tipuan, yang melibatkan teman-teman kuliah mereka. Omen dan James tergerak untuk menyelidiki kasus ini dengan bantuan teman-teman PSP.",Comedy, ,6.4,2019
2005-02-17,Tentang Dia,"Gadis dikhianati ketika pacarnya berselingkuh dengan sahabatnya. Dia menjadi pendiam, tetapi pertemuan tak sengaja dengan seorang gadis bernama Rudi membawanya pada serangkaian petualangan yang menyenangkan dan bebas.",Drama,"gadis remaja, remaja",6.3,2005
2022-05-19,Cinta Subuh,"Angga, seorang mahasiswa yang jarang salat tepat waktu, jatuh cinta pada Ratih, seorang wanita muda yang cerdas dan religius, yang tidak pernah menyangka seorang pria seperti Angga mampu mencuri hatinya.","Drama, Romance", ,7,2022
2021-11-25,Kadet 1947,"Ketika Belanda melancarkan agresi terhadap Indonesia untuk merebut kembali kekuasaannya pasca Perang Dunia II, sekelompok kadet yang kurang berpengalaman harus mempertahankan pangkalan udara terakhir yang tersisa agar mereka memiliki kesempatan untuk membantu Republik memenangkan perang revolusi dan melindungi apa yang telah mereka sayangi.","Drama, History, War","angkatan udara, sejarah militer, sejarah Indonesia",6.4,2021
2010-03-10,Affair,"Reta dan Santi adalah teman masa kecil. Reta jatuh cinta pada David, yang telah lama menjadi selingkuhan Santi. Karena Reta menderita penyakit serius, Santi memutuskan untuk merahasiakan hubungan asmaranya. Segitiga cinta berubah menjadi mimpi buruk di antara ketiga sahabat ini.","Horror, Mystery", ,4.3,2010
2022-08-18,12 Cerita Glen Anggara,"Terinspirasi untuk menjadi pribadi yang lebih baik, seorang pemuda berusaha mewujudkan 12 keinginan hidup yang belum terwujud dari seorang wanita yang dikenalnya.","Drama, Romance", ,5.8,2022
2023-05-11,Hello Ghost,"Setelah percobaan bunuh diri yang gagal, Kresna diikuti oleh empat hantu yang hanya akan pergi jika Kresna memenuhi permintaan mereka.","Comedy, Drama, Horror","bunuh diri, percobaan bunuh diri, pembuatan ulang, hantu",6.5,2023
2021-04-09,Ghostbuser,"Sigit, yang memiliki kemampuan melihat hantu, melihat peluang besar untuk mendapatkan uang dari kemampuan tersebut. Hidupnya menjadi kacau karena ternyata menjadi kaya tidaklah semudah itu.","Comedy, Horror", ,6.8,2021
2022-09-08,Mendarat Darurat,"Glen terkejut ketika ia tanpa sengaja menipu kematian dengan perselingkuhan. Sekarang masalah sebenarnya adalah: Bagaimana ia akan menjelaskan keberuntungannya kepada Maya, istrinya?","Comedy, Romance","mendarat darurat, mendarat, darurat",6.1,2022
1973-11-09,鬼面人,"Ketika Ghostly Face (seorang pria baik yang mengenakan topeng monster) membunuh ayah seorang wanita dan mencuri pedangnya, wanita itu berangkat untuk membalas dendam. Dia tidak menyadari bahwa Ghostly Face bukanlah pembunuh sebenarnya, melainkan telah dijebak oleh sekelompok bajak laut. Di sepanjang perjalanan, wanita itu menyelamatkan seorang gadis yang diculik oleh para bajak laut dan keduanya berangkat bersama untuk mencari tahu apa yang sebenarnya terjadi.","Horror, Action, Crime, Drama", ,5.8,1973
2007-03-29,Nagabonar Jadi 2,"Dalam sekuel Nagabonar (1986) ini, Nagabonar yang sudah tua diminta untuk tinggal sementara bersama Bonaga, putranya yang berpendidikan luar negeri, di Jakarta. Ini adalah upaya Bonaga untuk meminta izin Nagabonar mengubah perkebunan kelapa sawit keluarga menjadi resor. Hal ini membuat Nagabonar marah karena pemakaman keluarga berada di perkebunan tersebut. Karena sangat sedih, ia meninggalkan rumah putranya dan tersesat di Jakarta.","Drama, Comedy","hubungan orang tua dan anak, bisnis keluarga, tersesat",7.2,2007
2020-12-18,Quarantine Tales,Quarantine Tales adalah kumpulan cerita karya 5 sutradara yang menceritakan kisah kehidupan yang dialami selama pandemi.,"Drama, Thriller", ,6.1,2020
2010-09-08,Darah Garuda - Merah Putih II,"Setelah berhasil menyerang konvoi pasokan Angkatan Darat Belanda, Amir, Thomas, Dayan, dan Marius segera menemukan markas Jenderal Soedirman jauh di dalam hutan. Dengan pengalaman yang mereka peroleh, mereka direkrut ke dalam unit elit di bawah komando prajurit yang eksplosif namun bijaksana, Sersan Yanto. Kapten Amir kemudian menggantikan posisi Yanto sebagai pemimpin unit. Misi pertama mereka adalah melumpuhkan pembangunan lapangan terbang Angkatan Darat Belanda. Apa pun harganya, apa pun risikonya.","War, Action, Drama", ,6.7,2010
2007-11-22,Quickie Express,Jojo adalah seorang pengangguran. Dia memutuskan untuk menjadi gigolo untuk sebuah perusahaan jasa pendamping. Semuanya berjalan lancar sampai dia jatuh cinta dengan seorang mahasiswi kedokteran.,"Comedy, Drama", ,6.9,2007
1981-01-01,Srigala,Orang-orang di sebuah pulau dibunuh secara brutal satu per satu oleh orang asing misterius dalam film tiruan Friday the 13th versi Indonesia ini.,"Horror, Thriller","zombie, perahu cepat",4.9,1981
2020-09-11,Rentang Kisah,"Berdasarkan pengalaman nyata Gita Savitri Devi, seorang mahasiswi Indonesia di Jerman yang menemukan Islam di negara minoritas Islam dan menemukan kedekatan keluarga meskipun terpisah jauh.",Drama, ,6.1,2020
1988-10-01,Tjoet Nja' Dhien,"Berlatar tahun 1896, ""Tjoet Nja' Dhien"" mengisahkan salah satu pahlawan besar Indonesia yang berjuang untuk kemerdekaan dari Belanda. Masyarakat Muslim yang taat di Aceh, sebuah kota yang telah berkembang sejak zaman kuno sebagai pelabuhan perdagangan, terlibat dalam perang sengit dengan Belanda. Tjoet Nja' Dhien, janda seorang pemimpin pemberontak yang beroperasi di Aceh, Sumatera, mengambil alih kepemimpinan ketika suaminya, Teuku Uma, terbunuh dalam penyergapan. Kehadiran karismatik dan kekuatan bertahan hidup Dhien memotivasi penduduk setempat untuk bergabung dan kemudian melanjutkan perlawanan mereka terhadap Belanda. Terlepas dari rintangan pribadi, ia tetap berada di tengah perjuangan selama sepuluh tahun.","Drama, War, History","pejuang wanita, gerakan kemerdekaan, perang kemerdekaan, Indonesia, Aceh, pahlawan nasional",7.8,1988
2011-03-17,Belkibolang,"Kompilasi sembilan film pendek dan adegan yang dikumpulkan, karya sutradara muda Indonesia yang sedang naik daun. Berlatar satu malam yang panas di Jakarta. Setiap film pendek menampilkan interaksi antara dua karakter dan berfokus pada situasi aneh yang mungkin dialami seseorang saat menjelajahi kota di malam hari.",Drama, ,5.6,2011
2009-04-30,Jamila dan Sang Presiden,"Jamila adalah seorang PSK yang menjalani hukuman seumur hidup di balik jeruji besi. Dia menyerahkan diri kepada pihak berwenang setelah mengakui telah membunuh seorang menteri berpangkat tinggi, dan menolak untuk diwakili oleh pengacara mana pun atau meminta keringanan hukuman.",Drama,sutradara wanita,6.9,2009
2007-10-19,Dara,"Dara, seorang wanita cantik penuh teka-teki dengan rahasia mengerikan, mengundang seorang bujangan yang tidak menyadari apa pun ke rumahnya. Ketika dua pelamar tak terduga datang berkunjung, kekacauan pun terjadi.",Horror,"kekerasan berdarah, slasher, kanibalisme, Indonesia",7.2,2007
2020-10-02,Bidadari Mencari Sayap,"Reza dan Angela terjebak dalam perbedaan kepercayaan dan budaya. Reza beragama Islam dan keturunan Arab, dan menikah dengan Angela yang keturunan Tionghoa.",Drama, ,7.4,2020
2023-01-19,Balada Si Roy,"Setelah kematian ayahnya, Roy pindah ke Serang bersama ibunya. Dia berbeda dari kebanyakan anak laki-laki dan itulah yang membuatnya disukai banyak gadis di sekolahnya.","Action, Drama, Romance", ,5.6,2023
2013-05-07,Cinta Brontosaurus,Seorang penulis yang percaya bahwa semua hubungan memiliki tanggal kadaluarsa akhirnya bertemu seseorang yang berpotensi mengubah logika negatifnya.,"Comedy, Drama, Romance",berdasarkan novel atau buku,6,2013
2012-02-23,Dilema,"Dilemma adalah film omnibus, lima cerita yang menggambarkan sisi gelap kehidupan bawah tanah Jakarta. Dunia bawah tanah Jakarta yang jarang dibicarakan, dan dilupakan oleh sebagian besar orang.","Crime, Drama","poker, permainan poker",7.1,2012
2021-03-25,Titisan Setan 2,"Rico, seorang penjahit terkenal, bertemu dengan seorang wanita misterius yang memesan gaun darinya. Setelah malam itu, semua teman Rico menghilang satu per satu.",Horror, ,5.6,2021
1953-01-01,Harimau Tjampa,"Berlatar tahun 1930-an, dan dinarasikan seperti balada dari masa lalu, ""The Tiger from Tjampa"" menceritakan bagaimana seorang pemuda, Lukman, berusaha membalaskan dendam atas pembunuhan ayahnya dengan mempelajari pencak silat, bentuk bela diri tradisional yang didasarkan pada gerakan hewan.",Drama,"harimau, Indonesia, silat",6.3,1953
2023-01-05,Puisi Cinta Yang Membunuh,"Kisah Ranum, yang selalu tertipu oleh kata-kata manis para pria yang kemudian mengkhianatinya dan akhirnya meninggal dunia di tangan sosok misterius. Drama keluarga Ranum berputar di sekitar tipu daya; kisah ini puitis, romantis, dan lucu yang seketika berubah menjadi teror. Ranum memutuskan untuk terus mencari cinta sejati, yang indah dan membawa kebaikan untuk menangkis tragedi yang telah dialaminya. Siapakah sosok yang menyebarkan teror keji itu, dan dapatkah Ranum menemukan cintanya?","Thriller, Drama, Horror", ,4.6,2023
2019-08-15,Perburuan,"Enam bulan setelah kegagalan PETA melawan Nippon, Hardo kembali ke desanya di Blora. Kehadirannya tercium oleh Nippon, dilacak, dan dikejar. Dalam pengejaran pada suatu siang dan malam sebelum proklamasi kemerdekaan, sebuah drama perjuangan terungkap. Pengkhianatan ayah tunangan Hardo disandingkan dengan pengkhianatan sahabatnya, Karmin; perlawanan Dipo dan Kartiman disandingkan dengan perlawanan Hardo; kekejaman perang dan ego para penjajah, sebuah shidokan (pengorbanan) Nippon disandingkan dengan kemerosotan kondisi korban perang seperti ayah Hardo dan Ningsih.","Drama, History, War", ,5.7,2019
2019-08-29,Twivortiare,"Setelah dua tahun penuh konflik tanpa henti, Alex dan Beno memutuskan untuk bercerai. Namun, rasa cinta yang kuat membuat mereka menikah lagi. Dalam pernikahan kedua ini, mereka juga berjanji untuk lebih dewasa.","Drama, Romance", ,6.6,2019
2019-12-12,Jeritan Malam,"Reza dan ketiga temannya mencoba menelusuri sejarah asrama tempat mereka tinggal. Namun sayangnya, Reza melakukan ritual yang seharusnya tidak dilakukan.",Horror, ,6.5,2019
2016-07-25,Uang Panai' Maha(r)l,"Anca, seorang pria Bugis-Makassar, baru saja kembali dari luar negeri. Secara tak sengaja ia bertemu kembali dengan mantan kekasihnya, Risna. Benih cinta kembali bersemi. Berharap tidak kehilangan Risna untuk kedua kalinya, Anca berniat menikahi Risna. Namun niatnya terhalang oleh syarat pernikahan adat: Uang Panai atau mahar dalam jumlah fantastis. Perjuangan Anca pun dimulai. Ia dibantu oleh teman-temannya, Tumming dan Abu, yang sering memberikan ide-ide lucu dan absurd. Di tengah perjuangan Anca mengumpulkan mahar, datanglah Farhan, teman lama Risna yang baru saja kembali dari luar negeri. Ayah Farhan, yang juga sahabat ayah Risna, berniat menjodohkan Farhan dan Risna. Anca merasa tertekan. Ia membutuhkan waktu lebih lama untuk mengumpulkan mahar. Risna khawatir apakah Anca akan meninggalkannya seperti sebelumnya. Keluarga Risna tidak ingin menunda lebih lama lagi.","Romance, Comedy", ,6.9,2016
2015-05-13,Epen Cupen the Movie,"Atas nama ayahnya, seorang putra dewasa mencoba menemukan saudara kembarnya yang telah lama hilang ketika ia bertemu seseorang yang bersedia membantunya — seorang pria yang sedang buron dari penagih utang.","Comedy, Adventure", ,5.5,2015
2018-11-08,Hanum & Rangga: Faith & The City,"Hanum mendapat kesempatan untuk mengikuti program di stasiun TV Global New York, yang merupakan impiannya. Suaminya mengorbankan mimpinya demi Hanum.","Drama, Romance", ,1.3,2018
1989-01-01,Tarzan Raja Rimba,Kisah tentang Tarzan,Action, ,6.4,1989
1990-01-01,Tarzan Penunggu Harta Karun,Ini adalah film Tarzan Indonesia kedua yang dibintangi Barry Prima. Film sebelumnya adalah Tarzan Raja Rimba yang dibuat pada tahun 1989.,Action, ,3.8,1990
2015-12-17,Bulan Terbelah di Langit Amerika,"Hanum, seorang reporter dari Wina, ditugaskan untuk membuat artikel berjudul ""Apakah dunia lebih baik tanpa Islam?"" Untuk menjawab pertanyaan ini, Hanum harus bertemu dengan korban tragedi 9/11 di New York, Azima Hussein.",Drama,9/11,5.9,2015
2014-05-14,17 Tahun ke Atas,"Bagas (Ajun Perwira) sangat ingin menjadi seorang musisi. Setelah berusia 17 tahun, Bagas memutuskan untuk mengejar mimpinya dan menemukan cara untuk menjadi seorang musisi. Ibunya (Ranty Purnamasari) tidak menyetujui keputusan tersebut. Ibunya juga tidak menyetujui hubungan Bagas dengan Mentari (Sonya Fatmala).",Drama, ,6.6,2014
2018-03-14,Kisah Dua Jendela,"Film ini mengisahkan tentang dua orang yang memilih untuk hidup pada frekuensi yang sedikit berbeda dari orang lain. Andrea (Dinda Kanyadewi) memiliki pekerjaan unik dan sangat khusus yang mengharuskannya bekerja sendirian dari malam hingga pagi di gedung perkantoran yang hampir kosong. Leon (Khiva Iskak) adalah seorang penulis, yang keluar malam setelah putranya tertidur untuk menulis di kedai kopi favoritnya di seberang gedung Andrea. Keduanya mulai menyadari kehadiran satu sama lain di jendela masing-masing dan mereka mulai bertanya-tanya tentang satu sama lain dan diri mereka sendiri.",Drama, ,7.3,2018
1984-06-25,Telaga Angker,Legenda horor dari Indonesia.,"Horror, Comedy, Mystery", ,6.7,1984
2017-11-09,My Generation,Empat sahabat SMA harus menghadapi konsekuensi dari kritik video mereka setelah kepala sekolah melarang mereka untuk berlibur tahunan.,Drama, ,7,2017
2021-11-26,One Night Stand,"Seorang pemuda harus menghadiri dua acara besar dalam satu hari, yaitu pemakaman dan pernikahan. Dalam kedua acara tersebut, ia bertemu dengan wanita yang akan mengubah hidupnya.","Romance, Drama", ,6.1,2021
2005-09-29,Detik Terakhir,"Regi menderita depresi sejak kecil, dibesarkan oleh orang tua kaya yang memiliki sedikit waktu untuknya, tetapi banyak waktu untuk bertengkar dan berselingkuh satu sama lain. Saat kuliah, ia bertemu dan dekat dengan Rajib, seorang pengedar narkoba. Mengembangkan kebencian yang mendalam terhadap laki-laki, yang terinspirasi oleh ayahnya yang kasar dan tidak peka, ia mengidentifikasi dirinya sebagai seorang lesbian. Perkenalannya dengan dunia narkoba menjerumuskannya dan ia mengembangkan kebiasaan mengonsumsi kokain yang dengan cepat berkembang menjadi preferensi terhadap heroin White China. Ia bertemu dan jatuh cinta dengan mantan rekan pengedar narkoba Rajib, Vela, yang telah menjadi pecandu berat. Perjalanan hidupnya dan Vela menuju kecanduan kronis digambarkan dengan kuat sepanjang film, begitu pula keterikatan intens mereka satu sama lain. Plotnya (berdasarkan kisah nyata) luar biasa dalam penggambaran masalah narkoba di Indonesia, 'solusi' yang seringkali mengerikan untuk masalah ini, dan alasan di balik terjadinya masalah tersebut.",Drama, ,7.3,2005
2019-06-20,Mendadak Kaya,"Doyok, Otoy, dan Ali Oncom terjerat utang. Mereka menemukan sebuah koper berisi banyak uang. Mereka menjadi kaya raya tetapi tidak menyadari bahwa itu adalah uang bos mafia.",Comedy, ,5.8,2019
2015-08-27,Gangster,Seorang pemuda melakukan perjalanan ke Jakarta untuk mencari jawaban tentang masa lalunya dan terlibat dalam perseteruan yang melibatkan wanita yang dicintainya.,"Action, Comedy, Drama", ,6.4,2015
2019-06-20,Doremi & You,"Empat sahabat: Putri, Anisa, Imung, dan Markus, mencoba menukarkan uang hasil kegiatan ekstrakurikuler paduan suara yang secara tidak sengaja mereka lewatkan, dengan mengikuti kompetisi menyanyi 'Doremi & You'. Perjuangan keempat sahabat untuk memenangkan kompetisi menjadi sulit ketika Reno, asisten pelatih paduan suara yang diharapkan menjadi pelatih mereka, ternyata menjadi saingan terberat mereka dalam kompetisi tersebut.",Drama, ,7.7,2019
2008-08-13,Gara-Gara Bola,"Setelah kalah taruhan Piala Dunia, dua sahabat yang malang harus menggunakan kecerdasan mereka untuk melunasi hutang mereka kepada bandar judi besar di Jakarta.","Comedy, Drama", ,5.1,2008
2019-09-26,Horas Amang: Tiga Bulan untuk Selamanya,"Kisah sebuah keluarga yang tidak harmonis: Amang atau sang ayah (Cok Simbara) dan ketiga anaknya yang durhaka. Karena cintanya kepada anak-anaknya, Amang menggunakan cara yang tidak biasa untuk mengubah hidup mereka selamanya.","Drama, Comedy", ,9.3,2019
2016-09-01,Aku Ingin Ibu Pulang,"(Jefan Nathanio) memiliki orang tua yang sangat menyayanginya, yaitu Bagus (Teuku Rifnu Wikana) dan Satri (Nirina Zubir). Keluarga bahagia ini terganggu ketika sang ayah mengalami kecelakaan kerja. Sang ibu bingung mencari uang untuk membayar pengobatan suaminya. Ia mencuri dari tempat kerjanya. Setelah mengetahui perbuatannya, sang ibu marah padanya. Pertengkaran antara sang ibu dan ibunya membuat sang ibu melarikan diri dari rumah. Sang ayah harus merawat ayahnya sendirian. Suatu ketika ia memenangkan perlombaan. Ia dipanggil untuk tampil di acara televisi Andy F. Noya. Dalam acara tersebut, ia mengungkapkan keinginannya untuk pulang.",Drama, ,8,2016
2008-01-24,Radit & Jani,"Radit dan Jani adalah pasangan bahagia dengan gaya hidup rock-and-roll. Narkoba, tato, banyak rokok, musik bising. Dahulu kala, mereka tidak punya uang, dan Radit dan Jani harus bekerja untuk mendapatkan uang.","Drama, Romance","Rock 'n' roll, tato, sepasang kekasih, perebutan uang, kisah cinta tragis, sutradara wanita",7,2008
2018-09-27,Arwah Tumbal Nyai: Part Arwah,"Syurkiani sangat penasaran mengapa neneknya, Lela, selalu melarangnya belajar tari jaipong. Diam-diam Syurkiani pergi ke Nyi Imas, mantan penari jaipong, untuk belajar tari tersebut. Nyi Imas meminta Syurkiani untuk memukul gendang misterius tiga kali sebagai syarat. Namun, Syurkiani memukul gendang empat kali. Setelah kejadian itu, nenek Syurkiani meninggal karena diserang oleh makhluk gaib. Syurkiani juga menjadi sasaran makhluk gaib karena ia memanggil roh dengan memukul gendang empat kali. Syurkiani dan pacarnya, Shakti, berusaha melarikan diri dari serangan tersebut. Akhirnya ia mengetahui bahwa makhluk gaib itu terkait dengan kematian neneknya. Bahkan dari kejadian ini ia menemukan ibunya yang selama ini tidak dikenalnya.",Horror, ,3.6,2018
2009-03-05,The Real Pocong,"Ivan dan Rini memiliki seorang anak perempuan yang cantik, Laura. Setelah sekian lama tanpa rumah sendiri, akhirnya Ivan membeli sebuah bungalo kecil di tengah hutan. Namun sejak pertama kali mereka menginjakkan kaki di rumah itu, Laura merasa takut dan menduga ada sesuatu yang tidak beres di tempat tersebut.","Thriller, Horror", ,5.7,2009
2017-01-19,Istirahatlah Kata-Kata,"Rezim Suharto telah berkuasa di Indonesia selama lebih dari 30 tahun, berulang kali membungkam demokrasi. Sangat kritis terhadap rezim dan tidak takut untuk menyuarakan pendapatnya, Wiji Thukul adalah seorang penyair yang kata-katanya sering diteriakkan dengan bangga oleh massa selama protes politik. Ketika kerusuhan pecah di Jakarta pada tahun 1996, ia dan beberapa aktivis lainnya dituduh bertanggung jawab. Terpaksa melarikan diri, Wiji kabur ke Pontianak di Kalimantan tempat ia bersembunyi selama delapan bulan, terkadang tinggal bersama orang asing. Di sana, ia harus mengubah identitasnya beberapa kali, tetapi terus menulis puisi dan cerita pendek dengan nama samaran. Sementara itu, di Solo, Jawa Tengah, istrinya, Sipon, tinggal bersama kedua anak mereka di bawah pengawasan ketat. Pada Mei 1998, Wiji Thukul dinyatakan hilang, sebulan sebelum Suharto digulingkan oleh rakyatnya sendiri.","Drama, History", ,7.3,2017
2010-09-07,Sang Pencerah,"Sekembalinya dari Mekah, Darwis mengubah namanya menjadi Ahmad Dahlan karena ia merasa terganggu oleh tren hukum Islam di masyarakatnya; yang berbatasan dengan bid'ah, syirik (politeisme), dan bid'ah (inovasi yang salah). Dengan menggunakan kompas, ia membuktikan bahwa arah kiblat (yang menunjuk ke Mekah) di Masjidil Haram salah. Penemuan ini membuat marah setiap Kyai (pakar Islam), terutama kepala Masjidil Haram, Kyai Penghulu Cholil Kamaludiningrat. Dahlan, yang belajar di Mekah selama lima tahun, dipandang sebagai pemberontak baru. Karena usulan perubahan arah kiblat ditolak, Dahlan memulai gerakan yang menyerukan perubahan tersebut. Dalam khutbah pertamanya sebagai seorang pendakwah, Dahlan mengkritik kebiasaan penduduk di desanya di Yogyakarta: ""Dalam salat, hanya dibutuhkan hati yang tulus dan sabar, tidak membutuhkan Kyai, uang, apalagi sedekah"". Akibatnya, Dahlan mendapat sambutan yang tidak ramah.","Drama, History","pendidikan, biografi",7.1,2010
2017-10-05,Jomblo,"Empat sahabat karib memiliki alasan berbeda untuk tetap melajang. Namun, masalah muncul ketika mereka menginginkan kekasih, menyebabkan persahabatan yang indah berubah menjadi persaingan.","Comedy, Romance", ,5.8,2017
2019-07-25,Koboy Kampus,"Selama kuliah di tahun 90-an, Pidi dan teman-temannya, Ninu, Deni, Erwin, dan Dikdik mendirikan negara mereka sendiri yang bernama ""Republik Negara Bersatu Panasdalam"". Kisah ini menceritakan masalah-masalah di kampus dan kisah cinta yang mereka alami.","Drama, Comedy, Music", ,6.5,2019
2019-09-05,Kembalinya Anak Iblis,"Rama, Garin, Farel, Quincy, dan Celsi selamat dari teror roh di resor Pulau Ayunan yang menyimpan sejarah mengerikan tentang pembantaian sebuah keluarga dan karyawan resor. Rama panik: kekasihnya berada di rumah sakit jiwa, jasad Hana, saudara perempuannya, dan Fira belum ditemukan. Rama kembali ke Pulau Ayunan untuk mencari mereka. Tetapi rintangan menanti di depan.",Horror, ,7.2,2019
2007-03-26,Lewat Tengah Malam,"Gadis-gadis kesepian yang percaya dihantui oleh hantu, menemukan jawaban mengejutkan di akhir cerita.",Horror, ,4.8,2007
2021-10-29,Story of Dinda: Second Chance of Happiness,"Dinda hanya ingin bahagia, tetapi seringkali kenyataan tidak sesuai dengan harapan. Namun kini ia bertemu seseorang yang membuatnya menyadari: cinta yang baik tidak selalu penuh luka. Rasa tenang yang tidak terkekang, kedewasaan yang tidak berlebihan dan tetap memberi kebebasan pada setiap sifat kekanak-kanakan.","Romance, Drama",nanti kita cerita tentang hari ini,5.7,2021
1980-01-01,Pintar Pintar Bodoh,"Dono, Kasino, Indro, dan Dorman ingin membuka sebuah agensi detektif. Namun, karena perselisihan di antara mereka, persahabatan mereka terpecah menjadi dua kelompok, yaitu Kubu Kubu Casino-Dono dan Indro-Dorman. Kedua kelompok tersebut bersaing untuk menjadi detektif terbaik. Persaingan dimulai ketika mereka mencari seorang sekretaris cantik dan mempromosikan kemampuan mereka.",Comedy, ,7.4,1980
2019-06-17,Humba Dreams,"Atas permintaan ibunya, seorang mahasiswa kembali ke rumahnya di pulau Sumba, di mana pertanyaan-pertanyaan tentang mendiang ayahnya mulai terungkap.","Drama, Romance", ,7,2019
1988-06-25,Santet,"Karena istrinya selalu sakit, Bisman mulai tertarik pada Katemi. Untuk memiliki Katemi, Bisman membunuh istrinya dan menghasut penduduk desa melawan Sarma, suami Katemi, atas pembunuhan tersebut. Sarma kemudian dibunuh. Katemi melarikan diri tetapi jatuh ke dalam gua tempat tinggal Nyi Angker. Katemi menjadi murid Nyi Angker. Sementara itu, Bisma mengambil alih posisi kepala desa. Dia memerintahkan penduduk desa untuk menemukan Katemi. Putra kepala desa lama, Achmad, yang baru saja kembali dari sekolah agama, ikut serta dalam pencarian. Katemi ditemukan dan dikembalikan kepada Bisman. Tetapi dia sudah memperoleh kekuatan ilmu hitam. Dia membalas dendam pada Bisman dan pergi. Dari jauh, Katemi terus berlatih sihirnya. Achmad mencoba membujuknya untuk berhenti tetapi Nyi Angker tidak mengizinkannya. Akhirnya, Achmad berhasil mengalahkan Nyi Angker.",Horror, ,6.2,1988
2012-09-06,"Test Pack, You're My Baby",Seorang konselor pernikahan terguncang oleh masalah pernikahannya sendiri ketika perjuangan untuk memulai sebuah keluarga dengan istrinya yang bersemangat membuat pernikahan mereka berada di ambang kehancuran.,"Comedy, Drama, Romance", ,7.1,2012
2018-02-15,Bayi Gaib,"Kehamilan Farah adalah kebahagiaan bagi Rafa, tetapi bencana terus terjadi seiring pertumbuhan bayi. Dia tahu bahwa bayinya adalah satu-satunya cara untuk menyelamatkan keluarganya.",Horror,Sayang,4.9,2018
2019-02-07,Satu Suro,"Bayu membawa Adinda ke rumah sakit untuk melahirkan. Bayu pulang ke rumah dan ketika kembali ke rumah sakit, ia mendapati bangunan tua yang kosong dan terbengkalai.",Horror, ,4.9,2019
2011-10-13,Pocong Minta Kawin,"Di sebuah flat di pinggiran Jakarta, Ningsih (Chika Waode) bahagia karena akan segera menikah dengan Hamid (Jimmy). Namun Hamid tidak pernah datang dan pernikahan dibatalkan. Ningsih berniat bunuh diri dengan melompat dari ketinggian flat, tetapi Yuli Gaga (Julia Perez) melihatnya, dan dengan terkejut berteriak memanggil namanya. Karena terkejut juga, Ningsih terpeleset dan jatuh hingga tewas. Empat mahasiswa, Aldi (Vicky Nitinegoro), Justin (Christopher), Ragil (Dhawan Khai), dan Amir (Bobby Maulana) menyewa kamar bekas Ningsih dengan harga yang bagus. Mereka menemukan barang-barang pribadi Ningsih tertinggal di sana, dan setelah melihat foto-fotonya, mereka mengejeknya karena tidak cantik dan memiliki gigi tonggos. Hal ini menyinggung arwah Ningsih dan ia pergi untuk menghantui mereka. Ia kembali dalam wujud pocong.","Comedy, Horror", ,8.1,2011
